word_1	word_2	biword	frequency
3SBJ.DEF	CESS	3SBJ.DEF|CESS	1
CESS	PST	CESS|PST	1
PROG	keep.hidden	PROG|keep.hidden	1
PROG	be.shallow[nmlz].	PROG|be.shallow[nmlz].	1
stay[1sbj]	then	stay[1sbj]|then	1
EMP	go.to	EMP|go.to	5
go.to	AFF	go.to|AFF	1
INCH	be.dark	INCH|be.dark	4
NMLZ.INF	ITER	NMLZ.INF|ITER	4
NMLZ.INF	PST	NMLZ.INF|PST	11
ITER	go[1sbj]	ITER|go[1sbj]	7
AFF.	ITER	AFF.|ITER	6
3SBJ<NMLZ.P>PASS	PST	3SBJ<NMLZ.P>PASS|PST	1
PST	break.dam	PST|break.dam	1
ITER	look.at	ITER|look.at	13
NMLZ.P	INCH	NMLZ.P|INCH	5
INCH	travel	INCH|travel	1
ITER	start.to.move	ITER|start.to.move	1
DEM.DIST	at.night	DEM.DIST|at.night	1
at.night	come[3sbj].	at.night|come[3sbj].	1
come[3sbj].	PROG	come[3sbj].|PROG	1
ITER	come[3sbj].	ITER|come[3sbj].	3
come[3sbj].	PST	come[3sbj].|PST	1
river	PROG	river|PROG	2
PROG	PFV	PROG|PFV	9
PFV	go[1sbj]	PFV|go[1sbj]	2
food	PST	food|PST	2
southwest.young.man	suddenly	southwest.young.man|suddenly	1
suddenly	start.go	suddenly|start.go	1
DEF	ITER	DEF|ITER	7
on.arrival	come<nmlz.p>.	on.arrival|come<nmlz.p>.	1
oh.my	PST	oh.my|PST	1
PST	love	PST|love	1
INCH	talk.to	INCH|talk.to	5
girl	3NEG	girl|3NEG	1
3NEG	like	3NEG|like	8
sweat.house	then	sweat.house|then	2
then	go.into	then|go.into	1
PROG	hum	PROG|hum	3
PST	witness.by.seeing	PST|witness.by.seeing	1
3SBJ.INDF.	CESS	3SBJ.INDF.|CESS	5
CESS	hum	CESS|hum	5
go.to	be.one	go.to|be.one	2
PST	give	PST|give	8
3SBJ.INDF.	INCH	3SBJ.INDF.|INCH	9
INCH	hum	INCH|hum	5
ITER	blow	ITER|blow	4
3SBJ.DEF.	CESS	3SBJ.DEF.|CESS	8
coyote	INCH	coyote|INCH	2
ITER	CESS	ITER|CESS	5
INCH	listen.to	INCH|listen.to	4
PST	at.last	PST|at.last	3
at.last	know	at.last|know	2
river	then	river|then	1
then	INCH	then|INCH	39
PROG	at.destingation	PROG|at.destingation	1
ITER	same.way	ITER|same.way	3
same.way	sound	same.way|sound	1
TH.IMPL.	INCH	TH.IMPL.|INCH	1
INCH	look.at	INCH|look.at	5
1SBJ.	ITER	1SBJ.|ITER	1
INCH	follow	INCH|follow	5
ITER	go.ashore	ITER|go.ashore	2
girl	ITER	girl|ITER	2
ITER	go.uphill	ITER|go.uphill	1
3SBJ.DEF	no.longer	3SBJ.DEF|no.longer	3
no.longer	travel[1sbj]	no.longer|travel[1sbj]	1
3NEG	not.much	3NEG|not.much	22
not.much	be.long.time	not.much|be.long.time	3
dwell[nmlz]	PST	dwell[nmlz]|PST	1
klamath[loc].	PROG	klamath[loc].|PROG	1
on.arrival	come<3sbj.impl>	on.arrival|come<3sbj.impl>	1
gamble)	PST	gamble)|PST	1
TH.IMPL.	no.longer	TH.IMPL.|no.longer	1
INCH	smoke	INCH|smoke	4
INST.IMPL.	PST	INST.IMPL.|PST	2
CESS	move.in	CESS|move.in	1
suddenly	eat[1sbj].	suddenly|eat[1sbj].	1
CESS	smoke	CESS|smoke	4
ITER	give	ITER|give	3
PST	be.strong[3sbj]	PST|be.strong[3sbj]	1
NMLZ.INF.	PST	NMLZ.INF.|PST	5
3OBJ[2SBJ.IMP].	INCH	3OBJ[2SBJ.IMP].|INCH	1
very	be.strong[3sbj].	very|be.strong[3sbj].	1
be.strong[3sbj].	PST	be.strong[3sbj].|PST	1
PST	cause.pain	PST|cause.pain	1
HORT	OPT	HORT|OPT	1
OPT	pass	OPT|pass	1
UNK	PST	UNK|PST	3
EMPH	EMPH	EMPH|EMPH	15
EMPH	very	EMPH|very	4
very	be.difficult[3sbj]	very|be.difficult[3sbj]	1
PST	so	PST|so	10
NMLZ.INF	PROG	NMLZ.INF|PROG	7
PROG	ADVS	PROG|ADVS	1
PROG	be.many	PROG|be.many	3
3SBJ.STV.	no.longer	3SBJ.STV.|no.longer	1
no.longer	stay[3sbj]	no.longer|stay[3sbj]	3
travel[1sbj].	way.up	travel[1sbj].|way.up	1
way.up	UNK	way.up|UNK	1
just.ready.to	INCH	just.ready.to|INCH	2
INCH	darken	INCH|darken	12
INCH	work	INCH|work	3
EMPH	3NEG	EMPH|3NEG	26
3NEG	make.spark	3NEG|make.spark	1
CESS	work	CESS|work	5
3NEG	take.off	3NEG|take.off	1
leggings.	PST	leggings.|PST	1
NMLZ.A.	PST	NMLZ.A.|PST	2
no.longer	all	no.longer|all	1
all	be.long.time	all|be.long.time	1
PL	CESS	PL|CESS	1
PST	around	PST|around	13
around	start.off	around|start.off	1
PROG	INCH	PROG|INCH	52
INCH	be.in.love	INCH|be.in.love	2
PST	do.so	PST|do.so	4
dog	PST	dog|PST	1
PST	give.birth.to	PST|give.birth.to	1
PL	be.all.colors	PL|be.all.colors	1
3POSS	around	3POSS|around	5
around	go	around|go	10
ITER	PROG	ITER|PROG	4
PROG	be.belly	PROG|be.belly	1
elk	go.to	elk|go.to	1
go.to	cl.elk.meat	go.to|cl.elk.meat	3
3NEG	think	3NEG|think	2
on.arrival	kill	on.arrival|kill	1
PST	cut	PST|cut	1
PST	piece	PST|piece	4
EMP	from.behind	EMP|from.behind	1
from.behind	do	from.behind|do	1
PST	each	PST|each	1
each	arrange	each|arrange	1
all	go.off[3sbj.pl].	all|go.off[3sbj.pl].	2
go.off[3sbj.pl].	PST	go.off[3sbj.pl].|PST	1
come[3sbj].	INCH	come[3sbj].|INCH	1
INCH	narrate	INCH|narrate	1
2SG	ITER	2SG|ITER	1
ITER	DEF	ITER|DEF	2
all	begin.carry.meat	all|begin.carry.meat	1
3NEG	up	3NEG|up	1
3SBJ.DEF.	very	3SBJ.DEF.|very	3
in.vain	think	in.vain|think	4
stand[1sbj].	PST	stand[1sbj].|PST	1
go.to	INCH	go.to|INCH	1
INCH	carry.meat	INCH|carry.meat	1
PST	both.sides	PST|both.sides	3
both.sides	pull	both.sides|pull	1
go.off[3sbj.pl].	PROG	go.off[3sbj.pl].|PROG	1
on.arrival	ITER	on.arrival|ITER	12
PST	be.born[3sbj].	PST|be.born[3sbj].	1
all.time	PROG	all.time|PROG	1
NEG.EMPH	take.care.of	NEG.EMPH|take.care.of	1
PROG	take.care.of	PROG|take.care.of	1
2POSS	ITER	2POSS|ITER	1
ITER	be.born	ITER|be.born	1
DEM	no.longer	DEM|no.longer	3
no.longer	stay[3sbj].	no.longer|stay[3sbj].	3
stay[3sbj].	PST	stay[3sbj].|PST	4
PST	wander	PST|wander	1
UNK.LOC.	PROG	UNK.LOC.|PROG	1
INCH	search.for	INCH|search.for	2
PST	find	PST|find	1
PST	be.two	PST|be.two	2
be.two	PFV	be.two|PFV	1
PFV	be.born	PFV|be.born	1
EMP	all	EMP|all	2
all	be.light	all|be.light	2
ADVS	PFV	ADVS|PFV	1
PFV	see	PFV|see	1
NMLZ.P.	PST	NMLZ.P.|PST	4
PST	say.to	PST|say.to	28
only[1poss]	go.to	only[1poss]|go.to	1
go.to	go.up	go.to|go.up	1
around	PST	around|PST	1
INCH	travel<3sbj>.	INCH|travel<3sbj>.	1
travel<3sbj>.	PROG	travel<3sbj>.|PROG	1
3SBJ.DEF	way.up	3SBJ.DEF|way.up	1
way.up	above	way.up|above	2
all.time	PST	all.time|PST	1
PST	sit.down	PST|sit.down	1
top	around	top|around	1
around	PROG	around|PROG	5
UNK	CESS	UNK|CESS	1
CESS	surely	CESS|surely	2
go.to	dwell	go.to|dwell	1
way.up	PROG	way.up|PROG	1
PROG	leave	PROG|leave	3
surely	around	surely|around	1
around	ITER	around|ITER	13
ITER	down	ITER|down	3
PROG	think.over	PROG|think.over	1
PST	tie.up	PST|tie.up	1
down	at.end.of	down|at.end.of	2
at.end.of	cl.ribbon.like	at.end.of|cl.ribbon.like	1
PST	grasp	PST|grasp	5
PST	stretch[3sbj].	PST|stretch[3sbj].	1
PST	down	PST|down	5
tail[nmlz]	ITER	tail[nmlz]|ITER	1
nearly	around	nearly|around	1
on.arrival	speak.to	on.arrival|speak.to	2
DEM	already	DEM|already	3
already	be.blind[1sbj].	already|be.blind[1sbj].	1
where	PST	where|PST	1
3SBJ.DEF?	PST	3SBJ.DEF?|PST	2
3OBJ[1SBJ].	PST	3OBJ[1SBJ].|PST	2
AFF	INCH	AFF|INCH	65
INCH	do.to[1sbj]	INCH|do.to[1sbj]	1
PST	call.kin	PST|call.kin	2
ITER	1POSS	ITER|1POSS	1
how.much	EMPH	how.much|EMPH	1
very	have.vision	very|have.vision	1
INCH	rub	INCH|rub	1
PST	EMPH	PST|EMPH	3
EMPH	there	EMPH|there	1
ITER	call.kin	ITER|call.kin	2
all.right	PROG	all.right|PROG	1
PROG	close.eyes	PROG|close.eyes	3
very.well	PROG	very.well|PROG	1
PROG	see[1sbj].	PROG|see[1sbj].	1
cl.do.with.head	very	cl.do.with.head|very	1
2SBJ<TH.N.IND>SBJV?	PST	2SBJ<TH.N.IND>SBJV?|PST	1
2SBJ.IMP.	ITER	2SBJ.IMP.|ITER	1
ITER	look.around	ITER|look.around	1
3NEG	1POSS	3NEG|1POSS	1
cl.head	very	cl.head|very	1
PROG	be.predominant	PROG|be.predominant	1
3SBJ<NMLZ.P>STV.	PST	3SBJ<NMLZ.P>STV.|PST	4
CESS	DEM	CESS|DEM	1
see[3sbj]	AUG	see[3sbj]|AUG	1
AUG	very	AUG|very	1
very	have<th.stv>vision[3sbj].	very|have<th.stv>vision[3sbj].	1
where	PROG	where|PROG	7
PROG	happen[3sbj].	PROG|happen[3sbj].	8
all	use	all|use	2
3NEG	be.long.time	3NEG|be.long.time	13
HORT	CESS	HORT|CESS	1
surely	ITER	surely|ITER	1
PST	be.daylight	PST|be.daylight	1
CONT.	ITER	CONT.|ITER	1
mad.river[loc]	PST	mad.river[loc]|PST	1
ITER	come.to	ITER|come.to	1
EMP	all.night	EMP|all.night	3
all.night	happen[nmlz].	all.night|happen[nmlz].	2
EMP	relating.to	EMP|relating.to	2
3POSS	ITER	3POSS|ITER	9
relating.to	feel.good	relating.to|feel.good	1
3POSS	go.to	3POSS|go.to	11
go.to	await	go.to|await	1
UNK[LOC]	PST	UNK[LOC]|PST	1
PST	INT	PST|INT	1
INT	relating.to	INT|relating.to	2
relating.to	1NEG	relating.to|1NEG	1
1NEG	speak.to	1NEG|speak.to	1
3SBJ.DEF	on.arrival	3SBJ.DEF|on.arrival	2
on.arrival	grab	on.arrival|grab	1
PST	be.large	PST|be.large	6
PST	grab	PST|grab	2
PST	accompany	PST|accompany	3
AFF	PST	AFF|PST	9
down.river	around	down.river|around	1
go.to	3SBJ.INDF.	go.to|3SBJ.INDF.	1
on.arrival	go.into	on.arrival|go.into	1
trail.	PST	trail.|PST	1
PST	take.trail	PST|take.trail	1
around	be.fortunate[nmlz].	around|be.fortunate[nmlz].	1
1SBJ	relating.to	1SBJ|relating.to	1
ITER	be.left	ITER|be.left	1
3NEG	CONT	3NEG|CONT	1
CONT	NEG.EMPH	CONT|NEG.EMPH	1
NEG.EMPH	ITER	NEG.EMPH|ITER	2
1POSS	all.night	1POSS|all.night	1
all.night	happen[nmlz]	all.night|happen[nmlz]	1
happen[nmlz]	on.arrival	happen[nmlz]|on.arrival	1
on.arrival	EMP	on.arrival|EMP	1
DEF	all.night	DEF|all.night	1
ITER	call.to.mind	ITER|call.to.mind	2
1OBJ[2SBJ.IMP]	2NEG	1OBJ[2SBJ.IMP]|2NEG	1
2NEG	see	2NEG|see	1
2NEG.EMPH	ITER	2NEG.EMPH|ITER	3
3POSS	no.longer	3POSS|no.longer	1
UNK[LOC]	ITER	UNK[LOC]|ITER	1
EMP	ITER	EMP|ITER	4
3NEG	be.large	3NEG|be.large	1
3NEG	feel.well	3NEG|feel.well	1
3POSS	INCH	3POSS|INCH	13
INCH	dig.bulbs	INCH|dig.bulbs	1
INCH	tell	INCH|tell	20
PROH	touch	PROH|touch	7
PROG	dig.bulbs	PROG|dig.bulbs	1
LOC	PROG	LOC|PROG	13
go.to	gather.nuts	go.to|gather.nuts	1
PROG	scold	PROG|scold	2
3OBJ<TH.NEG>[2SBJ.IMP].	3NEG	3OBJ<TH.NEG>[2SBJ.IMP].|3NEG	1
3NEG	touch	3NEG|touch	1
happen[nmlz]	ITER	happen[nmlz]|ITER	1
INCH	all	INCH|all	7
INCH	dig.hole.in.ground	INCH|dig.hole.in.ground	1
ITER	pull	ITER|pull	1
child	PST	child|PST	2
PST	come.out.on.end.of[3sbj].	PST|come.out.on.end.of[3sbj].	1
INCH	say.to	INCH|say.to	2
3SBJ.DEF	POSS	3SBJ.DEF|POSS	1
POSS	raise	POSS|raise	1
EMPH	INCH	EMPH|INCH	7
INCH	grow.up	INCH|grow.up	1
INCH	here.and.there	INCH|here.and.there	3
here.and.there	run	here.and.there|run	1
3SBJ.DEF.	suddenly	3SBJ.DEF.|suddenly	4
INCH	string.bow	INCH|string.bow	1
arrow	in.secret	arrow|in.secret	1
in.secret	make.arrow	in.secret|make.arrow	1
HORT	around	HORT|around	1
ITER	go.to	ITER|go.to	5
PST	from.behind	PST|from.behind	3
from.behind	hand.over	from.behind|hand.over	1
PFV	be.long.time	PFV|be.long.time	1
PST	bring	PST|bring	1
PROG	go.around	PROG|go.around	2
WARN.	PST	WARN.|PST	1
NEG.EMPH	1NEG	NEG.EMPH|1NEG	1
1NEG	bring	1NEG|bring	1
NEG[1SBJ]	very	NEG[1SBJ]|very	1
very	be.heavy	very|be.heavy	1
all	go.off[3sbj]	all|go.off[3sbj]	1
go.off[3sbj]	go.to	go.off[3sbj]|go.to	1
go.off[3sbj].	go.to	go.off[3sbj].|go.to	1
go.to	3NEG	go.to|3NEG	7
PROG	play	PROG|play	2
PST	DEM.DIST	PST|DEM.DIST	6
linnet	PST	linnet|PST	6
go.to	all	go.to|all	4
all	witness	all|witness	1
HORT.	PST	HORT.|PST	2
PST	go[3sbj].	PST|go[3sbj].	1
INCH	play	INCH|play	3
NMLZ.INF.	PROG	NMLZ.INF.|PROG	2
ITER	go.up[3sbj]	ITER|go.up[3sbj]	1
go.up[3sbj]	PST	go.up[3sbj]|PST	1
PST	go.down	PST|go.down	7
on.beach	way.up	on.beach|way.up	3
way.up	put	way.up|put	6
ITER	go.down	ITER|go.down	11
water	PST	water|PST	4
go.to	almost	go.to|almost	1
almost	be.on.verge.of	almost|be.on.verge.of	1
be.on.verge.of	ITER	be.on.verge.of|ITER	1
where	ITER	where|ITER	2
from.behind	catch<emp>[3sbj].	from.behind|catch<emp>[3sbj].	1
catch<emp>[3sbj].	EMPH	catch<emp>[3sbj].|EMPH	1
EMPH	ITER	EMPH|ITER	9
ITER	come.up	ITER|come.up	2
PFV	ITER	PFV|ITER	4
ITER	grasp<3sbj.pass>.	ITER|grasp<3sbj.pass>.	1
grasp<3sbj.pass>.	ITER	grasp<3sbj.pass>.|ITER	1
3SBJ.INDF[PASS].	ITER	3SBJ.INDF[PASS].|ITER	1
where	from.behind	where|from.behind	1
from.behind	catch[3sbj.pass].	from.behind|catch[3sbj.pass].	1
catch[3sbj.pass].	EMPH	catch[3sbj.pass].|EMPH	1
go.to	please	go.to|please	2
please	grab	please|grab	1
PFV	catch	PFV|catch	1
go.to	DEM.DIST	go.to|DEM.DIST	4
DEM.DIST	from.behind	DEM.DIST|from.behind	1
from.behind	grasp<emp>.	from.behind|grasp<emp>.	1
PROG	at.last	PROG|at.last	12
at.last	ITER	at.last|ITER	5
NEG.EMPH	be.long.time	NEG.EMPH|be.long.time	1
ITER	grab[3sbj]	ITER|grab[3sbj]	1
grab[3sbj]	ITER	grab[3sbj]|ITER	1
east	way.up	east|way.up	1
from.behind	grab<emp>[3sbj].	from.behind|grab<emp>[3sbj].	1
grab<emp>[3sbj].	ITER	grab<emp>[3sbj].|ITER	1
he.who.was.dug.up	PROG	he.who.was.dug.up|PROG	1
INCH	be.pulled.down[3sbj.pass].	INCH|be.pulled.down[3sbj.pass].	1
all	think	all|think	2
3SBJ.INDF	PROG	3SBJ.INDF|PROG	9
PST	die[3sbj]	PST|die[3sbj]	2
here.and.there	hear.news	here.and.there|hear.news	1
old.woman	3NEG	old.woman|3NEG	1
3NEG	recognize	3NEG|recognize	1
ITER	come[1sbj]	ITER|come[1sbj]	1
around	dwell[3sbj]	around|dwell[3sbj]	1
1SG	in.secret	1SG|in.secret	1
in.secret	UNK	in.secret|UNK	1
go.to	kidnap	go.to|kidnap	1
INCH	make	INCH|make	2
PROG	pull.out.hair	PROG|pull.out.hair	1
PST	put.in.hair	PST|put.in.hair	1
around	EMP	around|EMP	16
PROG	PROH	PROG|PROH	4
PROH	say.to	PROH|say.to	1
here.and.there	wander	here.and.there|wander	1
go.to	gather.acorns	go.to|gather.acorns	2
PROG	in.vain	PROG|in.vain	11
in.vain	EMP	in.vain|EMP	2
NEG.EMPH	see	NEG.EMPH|see	3
all	go.up	all|go.up	1
where	relating.to	where|relating.to	2
relating.to	DUB	relating.to|DUB	1
go.to	watch	go.to|watch	4
rather.early	PST	rather.early|PST	1
PST	ask	PST|ask	2
relating.to	INT	relating.to|INT	1
INT	around	INT|around	2
around	come.from	around|come.from	3
2SBJ<N.IND>SBJV?	PST	2SBJ<N.IND>SBJV?|PST	1
2PL	EMPH	2PL|EMPH	1
EMPH	be.nice	EMPH|be.nice	1
now	PST	now|PST	4
1SBJ	way.up	1SBJ|way.up	1
way.up	go.up	way.up|go.up	1
go.to	come.from	go.to|come.from	1
3PL	PST	3PL|PST	2
come[3sbj].	ITER	come[3sbj].|ITER	1
ITER	on.arrival	ITER|on.arrival	2
ITER	be.on.verge.of	ITER|be.on.verge.of	1
go.off[3sbj].	PST	go.off[3sbj].|PST	1
he.who.was.dug.up	PST	he.who.was.dug.up|PST	1
all	carry.dim	all|carry.dim	2
also.	PROG	also.|PROG	2
he.who.was.dug.up	INCH	he.who.was.dug.up|INCH	1
INCH	play.stick.game	INCH|play.stick.game	2
PST	match	PST|match	1
thunder.	PST	thunder.|PST	1
PST	strike	PST|strike	1
again.and.again	PST	again.and.again|PST	6
ITER	strike	ITER|strike	1
ITER	win	ITER|win	2
man	all	man|all	1
all	be.two	all|be.two	1
PROG	OPT	PROG|OPT	2
OPT	hear.person	OPT|hear.person	2
PROG	so	PROG|so	7
woods	relating.to	woods|relating.to	1
again.and.again	ITER	again.and.again|ITER	1
ITER	hum	ITER|hum	1
3SOBJ[1SBJ].	PROG	3SOBJ[1SBJ].|PROG	1
be.well	3NEG	be.well|3NEG	1
3NEG	feel	3NEG|feel	3
go.to	upright	go.to|upright	1
upright	sit	upright|sit	12
around	see	around|see	1
relating.to	sit	relating.to|sit	1
on.arrival	so	on.arrival|so	2
3POSS.	ITER	3POSS.|ITER	6
upon.arrival	ITER	upon.arrival|ITER	2
ITER	go.in	ITER|go.in	17
just.ready.to	FUT	just.ready.to|FUT	1
FUT	around	FUT|around	1
PST	feed	PST|feed	1
around	carry.in.mouth	around|carry.in.mouth	1
outside	PROG	outside|PROG	1
ITER	lay.down[3sbj].	ITER|lay.down[3sbj].	2
early.tomorrow	ITER	early.tomorrow|ITER	1
INCH	go[3sbj]	INCH|go[3sbj]	1
ITER	go.about[3sbj].	ITER|go.about[3sbj].	2
venison	PST	venison|PST	1
ITER	go.around[3sbj].	ITER|go.around[3sbj].	1
PROG	happen[3sbj]	PROG|happen[3sbj]	4
dog	NEG.EMPH	dog|NEG.EMPH	1
NEG.EMPH	stay	NEG.EMPH|stay	2
AFF	3NEG	AFF|3NEG	12
ITER	go.along	ITER|go.along	1
dwell[3sbj].	PST	dwell[3sbj].|PST	1
ITER	go[3sbj].	ITER|go[3sbj].	1
go[3sbj].	PST	go[3sbj].|PST	1
PROG	lay.down[3sbj].	PROG|lay.down[3sbj].	1
3NEG	come.in	3NEG|come.in	2
what.int	PROG	what.int|PROG	4
CESS	by.hand	CESS|by.hand	6
ITER	PFV	ITER|PFV	2
PFV	out	PFV|out	1
NMLZ.P	EMPH	NMLZ.P|EMPH	2
sweat.house[loc]	PROG	sweat.house[loc]|PROG	1
PROG	go.in	PROG|go.in	2
3SBJ.DEF	EMPH	3SBJ.DEF|EMPH	14
NEG.	PST	NEG.|PST	6
PROG	cry	PROG|cry	4
PST	converse	PST|converse	1
be.well	1NEG	be.well|1NEG	1
1NEG	treat	1NEG|treat	1
person	go.to	person|go.to	1
no.longer	stay[1sbj].	no.longer|stay[1sbj].	1
woods	2NEG	woods|2NEG	1
2NEG	PROH	2NEG|PROH	1
ITER	kill	ITER|kill	1
NEG[2SBJ]	2NEG	NEG[2SBJ]|2NEG	1
2NEG	see[2sbj]	2NEG|see[2sbj]	1
woods	3NEG	woods|3NEG	1
ITER	go.around	ITER|go.around	1
woods	PST	woods|PST	1
NMLZ.P	no.longer	NMLZ.P|no.longer	1
no.longer	UNK	no.longer|UNK	1
starve[3sbj].	no.longer	starve[3sbj].|no.longer	1
happen[nmlz]	go.to	happen[nmlz]|go.to	1
ITER	3NEG	ITER|3NEG	1
when	back.and.forth	when|back.and.forth	1
back.and.forth	no.longer	back.and.forth|no.longer	1
stay[3sbj]	PST	stay[3sbj]|PST	1
INCH	starve[3sbj].	INCH|starve[3sbj].	1
go.to	tell	go.to|tell	8
2SBJ.HORT.	PST	2SBJ.HORT.|PST	1
2SBJ.HORT.	ITER	2SBJ.HORT.|ITER	1
medicine	PST	medicine|PST	1
PST	go.down.into	PST|go.down.into	1
INST.IMPL[3SBJ].	INCH	INST.IMPL[3SBJ].|INCH	1
INCH	be.light[nmlz]	INCH|be.light[nmlz]	1
happen[nmlz].	PST	happen[nmlz].|PST	1
PROG	drift	PROG|drift	1
PROG	draw.in	PROG|draw.in	1
FUT	look.at	FUT|look.at	1
please	ITER	please|ITER	1
ITER	go.about[1sbj]	ITER|go.about[1sbj]	1
dwell[3sbj]	around	dwell[3sbj]|around	1
around	do.with.head[3sbj]	around|do.with.head[3sbj]	1
PST	come.from	PST|come.from	1
3NEG	schoot	3NEG|schoot	1
3NEG	shoot	3NEG|shoot	1
venison	PL	venison|PL	1
PL	some	PL|some	3
some	be.black	some|be.black	1
some	be.white	some|be.white	1
PL	be.straight	PL|be.straight	1
PST	build.fire[3sbj]	PST|build.fire[3sbj]	1
all	cook[3sbj.pass].	all|cook[3sbj.pass].	2
say[3sbj]	PST	say[3sbj]|PST	1
slug	PST	slug|PST	1
ITER	hunt[3sbj]	ITER|hunt[3sbj]	1
PROG	happen[3sbj]?	PROG|happen[3sbj]?	1
UNK	3NEG	UNK|3NEG	1
3NEG	from.behind	3NEG|from.behind	1
from.behind	go.to.sleep	from.behind|go.to.sleep	1
EMPH	1NEG	EMPH|1NEG	3
1NEG	move	1NEG|move	3
cl.small.round[nmlz]).	INCH	cl.small.round[nmlz]).|INCH	1
cook[3sbj.pass].	PST	cook[3sbj.pass].|PST	2
ITER	sit	ITER|sit	2
PST	see	PST|see	4
INCH	feed[3sbj].	INCH|feed[3sbj].	1
all	pull.out	all|pull.out	1
ITER	EMPH	ITER|EMPH	4
EMPH	put.up	EMPH|put.up	2
where	all	where|all	1
all	go.out	all|go.out	1
PST	entirely	PST|entirely	1
be.well	FUT	be.well|FUT	1
2OBJ[1SBJ]	ITER	2OBJ[1SBJ]|ITER	1
ITER	2NEG	ITER|2NEG	2
2NEG	pity	2NEG|pity	1
INCH	beside	INCH|beside	1
beside	push.aside	beside|push.aside	1
around	throw	around|throw	1
around	3NEG	around|3NEG	2
3SBJ.STV	ITER	3SBJ.STV|ITER	1
FUT	go.to	FUT|go.to	1
go.to	witness.by.hearing[1sbj].	go.to|witness.by.hearing[1sbj].	1
witness.by.hearing[1sbj].	INCH	witness.by.hearing[1sbj].|INCH	1
INCH	go[3sbj].	INCH|go[3sbj].	1
FUT	come[3sbj]	FUT|come[3sbj]	1
PROG	be.up.on	PROG|be.up.on	2
on.arrival	look.at[3sbj.pass].	on.arrival|look.at[3sbj.pass].	1
look.at[3sbj.pass].	INCH	look.at[3sbj.pass].|INCH	1
INCH	laugh	INCH|laugh	1
INCH	come	INCH|come	2
INCH	entertain	INCH|entertain	1
already	be.many	already|be.many	1
INCH	take.down.house	INCH|take.down.house	1
3NEG	DEM.DIST	3NEG|DEM.DIST	3
3SBJ.PASS.	suddenly	3SBJ.PASS.|suddenly	1
suddenly	hear.noise	suddenly|hear.noise	2
INCH	yowl	INCH|yowl	1
coyote.	PROG	coyote.|PROG	1
PROG	already	PROG|already	3
already	be.unfortunate[1sbj].	already|be.unfortunate[1sbj].	1
panther	3NEG	panther|3NEG	1
3NEG	talk	3NEG|talk	4
3SBJ.DEF.	in.vain	3SBJ.DEF.|in.vain	4
in.vain	hear.noise	in.vain|hear.noise	1
INCH	trample.pass	INCH|trample.pass	1
ITER	hear.person	ITER|hear.person	1
LOC.	ITER	LOC.|ITER	3
whichever	POSS	whichever|POSS	1
POSS	affect	POSS|affect	1
all.go.off[3sbj].	no.longer	all.go.off[3sbj].|no.longer	1
INCH	look.for	INCH|look.for	2
where.int	PST	where.int|PST	1
3POSS.	PROG	3POSS.|PROG	2
here.and.there	lie<3sbj.stv>down.	here.and.there|lie<3sbj.stv>down.	1
die[3sbj]	PST	die[3sbj]|PST	1
ITER	come.to.life	ITER|come.to.life	1
PROG	search.for	PROG|search.for	1
go.to	fish.with.net	go.to|fish.with.net	1
NMLZ.P	PROG	NMLZ.P|PROG	14
PROG	NEG.EMPH	PROG|NEG.EMPH	4
NEG.EMPH	bring	NEG.EMPH|bring	1
already	ITER	already|ITER	2
ITER	for.nothing	ITER|for.nothing	1
for.nothing	come[3sbj].	for.nothing|come[3sbj].	1
at.last	starve[3sbj].	at.last|starve[3sbj].	1
here.and.there	be.sore	here.and.there|be.sore	1
PROG	be.fortunate	PROG|be.fortunate	1
1SBJ.SBJV.	very	1SBJ.SBJV.|very	1
very	be.large	very|be.large	4
go.to	PROG	go.to|PROG	9
PROG	be.light[nmlz]	PROG|be.light[nmlz]	1
3NEG	sleep[1sbj].	3NEG|sleep[1sbj].	1
sleep[1sbj].	already	sleep[1sbj].|already	1
already	know	already|know	2
1NEG	UNK	1NEG|UNK	1
PROG	1POSS	PROG|1POSS	4
CONT[1SBJ].	PST	CONT[1SBJ].|PST	1
ITER	enter	ITER|enter	1
PROG	sleep	PROG|sleep	4
wood	go.to	wood|go.to	2
go.to	carry	go.to|carry	1
3SBJ.INDF	INCH	3SBJ.INDF|INCH	4
INCH	carry	INCH|carry	4
PST	burn	PST|burn	1
3POSS.	1NEG	3POSS.|1NEG	1
INCH	be.hand	INCH|be.hand	3
around	INCH	around|INCH	5
PST	be.up	PST|be.up	7
NMLZ.P.	INCH	NMLZ.P.|INCH	11
INCH	take<3sbj>out	INCH|take<3sbj>out	1
INCH	cook[3sbj].	INCH|cook[3sbj].	1
INCH	put	INCH|put	1
3SBJ.INDF	ITER	3SBJ.INDF|ITER	6
ITER	be.in.center	ITER|be.in.center	1
ITER	lie.down	ITER|lie.down	2
3SBJ<N.IND>STV.	PST	3SBJ<N.IND>STV.|PST	1
ITER	get.up	ITER|get.up	1
PST	get.up	PST|get.up	2
2SBJ.IMP	go.to	2SBJ.IMP|go.to	1
go.to	EMPH	go.to|EMPH	1
EMPH	mark	EMPH|mark	1
INCH	cook[1sbj]	INCH|cook[1sbj]	2
PROG	cl.elk.meat	PROG|cl.elk.meat	1
EMP	already	EMP|already	2
already	AUG[3SBJ]	already|AUG[3SBJ]	1
