word_1	word_2	biword	frequency
go.down.into	at.end.of	go.down.into|at.end.of	1
at.end.of	do.with.face	at.end.of|do.with.face	1
only	PROG	only|PROG	6
PROG	PL	PROG|PL	58
PL	be.at.home[3sbj].	PL|be.at.home[3sbj].	1
soon	PST	soon|PST	5
PST	hear.noise	PST|hear.noise	4
woods	PFV	woods|PFV	1
PFV	go.about	PFV|go.about	1
3SBJ.DEF	ITER	3SBJ.DEF|ITER	15
ITER	go.through.enclosure	ITER|go.through.enclosure	1
DEM	PST	DEM|PST	31
ITER	each	ITER|each	1
each	lie	each|lie	1
3SBJ.STV.	soon	3SBJ.STV.|soon	1
ITER	hear.noise	ITER|hear.noise	2
AFF	then	AFF|then	11
DEM.DIST	PFV	DEM.DIST|PFV	4
PFV	suck	PFV|suck	1
3SBJ.DEF	PST	3SBJ.DEF|PST	51
ITER	INDF	ITER|INDF	1
people.	PST	people.|PST	1
DEM	EMPH	DEM|EMPH	115
INCH	behave	INCH|behave	1
some.time	PROG	some.time|PROG	6
PROG	happen[nmlz]	PROG|happen[nmlz]	12
happen[nmlz]	PROG	happen[nmlz]|PROG	1
PROG	suddenly	PROG|suddenly	29
suddenly	EMP	suddenly|EMP	2
3POSS	NEG.EMPH	3POSS|NEG.EMPH	1
NEG.EMPH	on.account.of	NEG.EMPH|on.account.of	1
DEM	3NEG	DEM|3NEG	7
3NEG	ITER	3NEG|ITER	41
no.longer	suck	no.longer|suck	1
INCH	so	INCH|so	4
DEM	PROG	DEM|PROG	158
old.woman	PROG	old.woman|PROG	1
PROG	go.out	PROG|go.out	2
PST	speak.to	PST|speak.to	6
3SBJ.DEF	PROG	3SBJ.DEF|PROG	27
DEM	ITER	DEM|ITER	13
ITER	go[1sbj].	ITER|go[1sbj].	7
go.to	go	go.to|go	9
go.to	PL	go.to|PL	1
PL	go.about	PL|go.about	1
2NEG	ITER	2NEG|ITER	4
ITER	see	ITER|see	26
no.longer	EMP	no.longer|EMP	22
at.last	PL	at.last|PL	1
PL	grow.together	PL|grow.together	1
ITER	PL	ITER|PL	3
PL	toward	PL|toward	1
EMP	PFV	EMP|PFV	5
PFV	get	PFV|get	1
DEM	PL	DEM|PL	2
PL	PROG	PL|PROG	6
PROG	put.in	PROG|put.in	3
DEM.DIST	PROG	DEM.DIST|PROG	13
PROG	be.warm	PROG|be.warm	1
PROG	set.upright	PROG|set.upright	1
PL	move	PL|move	1
3SBJ.DEF.	INCH	3SBJ.DEF.|INCH	33
INCH	get.dark	INCH|get.dark	2
PL	go	PL|go	3
child	then	child|then	1
then	be.born	then|be.born	1
be.born	then	be.born|then	1
then	grow.slow	then|grow.slow	1
INCH	care.for	INCH|care.for	2
3SBJ.INDF.	ITER	3SBJ.INDF.|ITER	8
ITER	be.one	ITER|be.one	1
go.to	gather.wood	go.to|gather.wood	1
then	CESS	then|CESS	1
CESS	INTS	CESS|INTS	3
then	EMP	then|EMP	7
INCH	cry	INCH|cry	8
be.one	in.vain	be.one|in.vain	1
in.vain	treat	in.vain|treat	1
3SBJ.DEF	in.vain	3SBJ.DEF|in.vain	1
in.vain	sing	in.vain|sing	1
